Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.14536	862	753	816	2022	2348	1489	789	1535	2451	2968	3363	12424	10067
MSTRG.14537	429	502	481	607	1177	464	242	509	1068	1574	1835	4417	5338
MSTRG.14538	242	373	297	665	998	570	281	836	4867	5350	6395	8282	32393
MSTRG.14539	16087	25489	27921	33987	62415	44103	52043	77620	68548	114435	121275	85660	477119
MSTRG.14540	29	33	26	152	198	141	2	0	4	1	2	37	186
MSTRG.14541	66	69	84	111	237	114	68	130	194	291	345	2293	1370
MSTRG.14542	110	136	138	177	329	129	104	136	54	60	100	1648	976
MSTRG.14543	161	129	158	440	621	485	136	158	129	229	272	1265	2170
MSTRG.14544	52	59	46	86	161	89	43	50	80	168	206	2251	1460
MSTRG.14545	577	790	808	1478	3497	2657	3331	3497	34	49	71	1115	4358
MSTRG.14546	312	375	400	556	376	472	262	476	1338	2182	2457	3226	11074
MSTRG.14547	23	96	27	58	175	99	85	339	2905	4116	4503	1571	9380
MSTRG.14548	77	93	59	285	347	252	98	253	956	1186	1441	758	4057
